col_names,col_index,PV,b_type,year,abbr
V.2003,2,V,All,2003,V2003All
P.2003,3,P,All,2003,P2003All
V.Coop.2003,4,V,Co-op,2003,V2003Co-op
P.Coop.2003,5,P,Co-op,2003,P2003Co-op
V.Condo.2003,6,V,Condo,2003,V2003Condo
P.Condo.2003,7,P,Condo,2003,P2003Condo
V.Condop.2003,8,V,Condop,2003,V2003Condop
P.Condop.2003,9,P,Condop,2003,P2003Condop
V.2004,10,V,All,2004,V2004All
P.2004,11,P,All,2004,P2004All
V.Coop.2004,12,V,Co-op,2004,V2004Co-op
P.Coop.2004,13,P,Co-op,2004,P2004Co-op
V.Condo.2004,14,V,Condo,2004,V2004Condo
P.Condo.2004,15,P,Condo,2004,P2004Condo
V.Condop.2004,16,V,Condop,2004,V2004Condop
P.Condop.2004,17,P,Condop,2004,P2004Condop
V.2005,18,V,All,2005,V2005All
P.2005,19,P,All,2005,P2005All
V.Coop.2005,20,V,Co-op,2005,V2005Co-op
P.Coop.2005,21,P,Co-op,2005,P2005Co-op
V.Condo.2005,22,V,Condo,2005,V2005Condo
P.Condo.2005,23,P,Condo,2005,P2005Condo
V.Condop.2005,24,V,Condop,2005,V2005Condop
P.Condop.2005,25,P,Condop,2005,P2005Condop
V.2006,26,V,All,2006,V2006All
P.2006,27,P,All,2006,P2006All
V.Coop.2006,28,V,Co-op,2006,V2006Co-op
P.Coop.2006,29,P,Co-op,2006,P2006Co-op
V.Condo.2006,30,V,Condo,2006,V2006Condo
P.Condo.2006,31,P,Condo,2006,P2006Condo
V.Condop.2006,32,V,Condop,2006,V2006Condop
P.Condop.2006,33,P,Condop,2006,P2006Condop
V.2007,34,V,All,2007,V2007All
P.2007,35,P,All,2007,P2007All
V.Coop.2007,36,V,Co-op,2007,V2007Co-op
P.Coop.2007,37,P,Co-op,2007,P2007Co-op
V.Condo.2007,38,V,Condo,2007,V2007Condo
P.Condo.2007,39,P,Condo,2007,P2007Condo
V.Condop.2007,40,V,Condop,2007,V2007Condop
P.Condop.2007,41,P,Condop,2007,P2007Condop
V.2008,42,V,All,2008,V2008All
P.2008,43,P,All,2008,P2008All
V.Coop.2008,44,V,Co-op,2008,V2008Co-op
P.Coop.2008,45,P,Co-op,2008,P2008Co-op
V.Condo.2008,46,V,Condo,2008,V2008Condo
P.Condo.2008,47,P,Condo,2008,P2008Condo
V.Condop.2008,48,V,Condop,2008,V2008Condop
P.Condop.2008,49,P,Condop,2008,P2008Condop
V.2009,50,V,All,2009,V2009All
P.2009,51,P,All,2009,P2009All
V.Coop.2009,52,V,Co-op,2009,V2009Co-op
P.Coop.2009,53,P,Co-op,2009,P2009Co-op
V.Condo.2009,54,V,Condo,2009,V2009Condo
P.Condo.2009,55,P,Condo,2009,P2009Condo
V.Condop.2009,56,V,Condop,2009,V2009Condop
P.Condop.2009,57,P,Condop,2009,P2009Condop
V.2010,58,V,All,2010,V2010All
P.2010,59,P,All,2010,P2010All
V.Coop.2010,60,V,Co-op,2010,V2010Co-op
P.Coop.2010,61,P,Co-op,2010,P2010Co-op
V.Condo.2010,62,V,Condo,2010,V2010Condo
P.Condo.2010,63,P,Condo,2010,P2010Condo
V.Condop.2010,64,V,Condop,2010,V2010Condop
P.Condop.2010,65,P,Condop,2010,P2010Condop
V.2011,66,V,All,2011,V2011All
P.2011,67,P,All,2011,P2011All
V.Coop.2011,68,V,Co-op,2011,V2011Co-op
P.Coop.2011,69,P,Co-op,2011,P2011Co-op
V.Condo.2011,70,V,Condo,2011,V2011Condo
P.Condo.2011,71,P,Condo,2011,P2011Condo
V.Condop.2011,72,V,Condop,2011,V2011Condop
P.Condop.2011,73,P,Condop,2011,P2011Condop
V.2012,74,V,All,2012,V2012All
P.2012,75,P,All,2012,P2012All
V.Coop.2012,76,V,Co-op,2012,V2012Co-op
P.Coop.2012,77,P,Co-op,2012,P2012Co-op
V.Condo.2012,78,V,Condo,2012,V2012Condo
P.Condo.2012,79,P,Condo,2012,P2012Condo
V.Condop.2012,80,V,Condop,2012,V2012Condop
P.Condop.2012,81,P,Condop,2012,P2012Condop
V.2013,82,V,All,2013,V2013All
P.2013,83,P,All,2013,P2013All
V.Coop.2013,84,V,Co-op,2013,V2013Co-op
P.Coop.2013,85,P,Co-op,2013,P2013Co-op
V.Condo.2013,86,V,Condo,2013,V2013Condo
P.Condo.2013,87,P,Condo,2013,P2013Condo
V.Condop.2013,88,V,Condop,2013,V2013Condop
P.Condop.2013,89,P,Condop,2013,P2013Condop
V.2014,90,V,All,2014,V2014All
P.2014,91,P,All,2014,P2014All
V.Coop.2014,92,V,Co-op,2014,V2014Co-op
P.Coop.2014,93,P,Co-op,2014,P2014Co-op
V.Condo.2014,94,V,Condo,2014,V2014Condo
P.Condo.2014,95,P,Condo,2014,P2014Condo
V.Condop.2014,96,V,Condop,2014,V2014Condop
P.Condop.2014,97,P,Condop,2014,P2014Condop
